# 2023/11/28 - 17:39 | PDB: 47.23 | UniProt: 2024.01
SP_PRIMARY,PDB
A0A003,6kvc;6kv9
A0A009I821,7ryg;7uw1;7m4x;7m4y;7uvz;7uvw;7uvv;7m4z;7ryh;7uvy;7uvx;7ryf;7m4w
A0A009IHW8,7uxu;8g83;7uwg
A0A009L7S8,7m4z;7ryh;7ryf;7uvz;7uvv;7m4y;7uw1;7uvy;7uvx;7m4x;7uvw;7m4w;7ryg
A0A009QSN8,6v3b;6v39;6v3d;6v3a
A0A010,5b0j;5b01;6j8v;5gwv;5b02;5gww;5b0m;6j8w;5b03;5b0l;5b0k;5b0i;5b00
A0A011,3vkd;3vk5;3vkc;3vkb;3vka
A0A014C6J9,6br7
A0A014CLK2,7m4w
A0A014M399,7dg0;7dfx
A0A016UNP9,2md0
A0A016UZK2,7a4a
A0A017T5A5,6gmf
A0A022IPE7,7m4y;7ryf;7ryg;7ryh;7m4z;7uvv;7uvw
A0A022MLV4,7vyu
A0A022MQ12,6sj4;6sj3;6sj1;6sj0;6sj2
A0A022MRT4,6siz;6siy;6six;6siw;6tm4
A0A023DFE8,6n9q;6n9i;6n9r
A0A023FDY8,7s58;7s59;7s4n;7so0
A0A023GPI4,2m6j
A0A023GPI5,4ccs
A0A023GPI8,4k1y;4k1z;4k21;4k20
A0A023GUL3,5f5l;5f5n
A0A023GUP0,5wpy;5wpx;2my5;2my6
A0A023GYI2,2nb6
A0A023GYK7,2nb5
A0A023H437,5fuj;5fuk
A0A023I7E1,5xbz;5xc2;4k3a;4k35
A0A023J4Z7,6hjc;6hj6
A0A023J5W7,7xtj
A0A023J6X7,6eio
A0A023LLI1,5z6p
A0A023NA98,7p1h;7d5y
A0A023PKG5,5tii;5thq
A0A023R6W2,5j36;5j09;5j37
A0A023T3X2,4v2i
A0A023T695,8sjj
A0A023UGN9,6sec;6seb;6zjx;6zjp;6zjq;6se8;6zjt;6zju;6zjr;6zjv;6h1p;6sed;6zjw;6etz;6se9;6zjs;6sea
A0A023VSF1,5bp8
A0A023X3C8,7lq4
A0A023X3Z4,7lq4;7lq3;7lq2
A0A024AX32,8gqr;8h0m
A0A024B5J2,6y5x;6y5y
A0A024B7W1,8eed;6ld3;6um3;6s0j;6i7p;6ld5;5kqs;5y0a;5njv;5kqr;7m1v;7bpk;7yw7;8ee8;5goz;5y6n;7cbp;7v2z;5u4w;5y6m;5uhy;5lbv;7bq5;7a3u;7c2t;7yar;7bsd;7bu8;6ld4;5ulp;6lnu;8ee5;5lcv;6lnt;7t17;8eee;5h32;6ld1;6ld2;6mid;6nip;6niu;5jmt;5gp1;5nju;6co8;7bua;5m5b;7yw8;5h30;7kcr;5iz7;5mrk;5kve;7a3n;5h37;8cxi;5ire;6jfh;6jfi;5lbs;6rwz;6plk
A0A024CX39,6ii8;6ii9;6ii4
A0A024E1S8,8bv0
A0A024E1X5,6lxj
A0A024E2M1,4r8w
A0A024E3M6,7z4o
A0A024E3P0,4r8w
A0A024E3Q2,4mwq;4mwu;4mwr;4mwv;4mwj
A0A024FRL9,6ol8;5wih
A0A024FSR7,6re9;6rdz;6reb;6re6;6rdh;6rd9;6rdc;6rdk;6rdu;6rdq;6rdt;6rd4;6rd5;6rda;6rdn;6rdr;6res;6rdo;6rdx;6rdi;6rd8;6re5;6ree;6ret;6ref;6rep;6re3;6re8;6rec;6rdl;6re0;6rdd;6rdf;6re2;6rd7;6rdw
A0A024FSS5,7ar9;7ard
A0A024H8G7,7qfd;7qf8;7qva
A0A024L327,6iny
A0A024L404,8a39
A0A024L8R9,6ysu;6yst;6yss
A0A024QYS6,5gqf;5gqc;5gqg
A0A024R326,5lks
A0A024R644,6r99
A0A024R7E8,8b3d;8b3f
A0A024R8L7,7q84;7q86
A0A024RAV5,2msd;7o83;2mse;2msc
A0A024RDQ7,7po1;7po0
A0A024S820,6i1q;6h7t;6i1t
A0A024SC78,4psc;4pse;4psd
A0A024UZE1,4z09;4z0e;4z0f;5nqf;4z0d
A0A024V0B1,4zx9;4zy0;5cbm;4zy1;4zyq;4zx8
A0A024V5I6,7z12;7z1h
A0A031LR83,7sbh
A0A031LXI5,6pt7
A0A031MKR8,8ait
A0A031WDA8,5eri
A0A031WDE4,6vxe
A0A031WIF2,7l00
A0A034T503,7y6c
A0A034T5T1,7vim
A0A034W4L8,6djx;6djw
A0A037USE5,5ogu;5l8z
A0A037Y8L6,6lkq;8fto;7cpj;7pju
A0A037YMJ1,7jz6
A0A037YQ84,6s0k
A0A045GRS5,8idb;8idd;8igq;8jia;8idc
A0A045H759,7yst
A0A051TYQ1,6ihg
A0A059PIQ0,7v8a;7a8b;7a7x;7a81;7a8e;7a7r;7a7v;7a85;7a88;7a8k;4zf3;7a8o;7v80;7v81;4xgy;7a7p;7a7z;7a89;7a8d;5wwk;7a82;7v8b;7a7y;7a8l;7e53;8gw7;7a8m;7v82;7a7n;7a7t;7a7u;7a86;7a8a;7v86;7v88;7v7z;7v83;7a8c;6h01;7a8f;7a8i;7a7m;7a7o;7a87;7a8n;5bt0;5btt;5mfc;5yr2;7a8g;7a8h;7v85;7v87;7v89;8gw6;7a7q;7a84;5dy6;7a80;7a83;7v84;7a7s;7a7w;7a8j
A0A059PIR4,8jyi;8jyh;8jyj
A0A059PIR9,7ugr;5yr3;7ugt;6l02;7ugs
A0A059Q1L6,7ksn
A0A059Q5E8,5iqk
A0A059Q6U2,5zji
A0A059QA82,6mjz
A0A059STC4,7ksc
A0A059T4A1,5tgo;5thb;4xqu;4xq5;4qy0;5thc;5th0;5tgv;5th1;6wf1;4qy1;4xqo;5tgu;4qy2
A0A059TC02,4r1t;4r1s
A0A059TFW7,2n30;2n1c
A0A059TXD8,5m99
A0A059U759,4pvi;4pva
A0A059VAZ3,4ypn;7ypi;7yuu;6wqh;5e7s;7yup;8k3y;7fd4;7cr9;7yuw;7cra;7ypj;7yuv;7fd5;7fie;7yuh;7yut;4ypl;7fiz;7fid;7ypk;7yux;7yum;7yph;4ypm
